id,location_type,description,length,width,height,volume,weight
1,BL020,"Bulk Locations 20",10000,1200,2200,0,99999999
2,BL040,"Bulk Locations 40",10000,2400,2200,0,99999999
3,BL060,"Bulk Locations 60",10000,2500,3600,0,99999999
4,COR,"Correction Locacation Type",99999,99999,99999,0,99999999
5,DUMMY,"Dummy locacation type",99999,99999,99999,0,99999999
6,G005,"Ground 005L",282,211,80,0,5000
7,G015,"Ground 015L",500,150,200,0,5000
8,G024,"Ground 024L",600,200,200,0,10000
9,G030,"Ground 030L",500,200,300,0,10000
10,G072,"Ground 072L",600,600,200,0,30000
11,G108,"Ground 108L",600,600,300,0,60000
12,G126,"Ground 126L",600,600,350,0,100000
13,G150,"Ground 264L",1500,400,250,0,150000
14,G192,"Ground 192L",800,400,600,0,100000
15,G240,"Ground 240L",1000,400,600,0,150000
16,G264,"Ground 264L",1100,400,600,0,150000
17,G288,"Ground 288L",1200,400,600,0,150000
18,G320,"Ground 320L",800,800,500,0,150000
19,PE0500,"Euro Pallet 500mm",1200,800,500,0,99999999
20,PE0600,"Euro Pallet 600mm",1200,800,610,0,99999999
21,PE1100,"Euro Pallet Location 1100",1200,800,1100,0,99999999
22,PE1200,"Euro Pallet 1200mm",1200,800,1210,0,99999999
23,PE1500,"Euro Pallet 1500mm",1200,800,1500,0,99999999
24,PE1800,"Euro Pallet 1800mm",1200,800,1810,0,99999999
25,PE2000,"Euro Pallet 2000mm",1200,800,2001,0,99999999
26,PE2500,"Euro Pallet 2500mm",1200,800,2510,0,99999999
27,PU0500,"UK Pallet 500mm",1200,1000,500,0,99999999
28,PU0600,"UK Pallet 600mm",1200,1000,610,0,99999999
29,PU1100,"UK Pallet 1100mm",1200,1000,1100,0,99999999
30,PU1200,"UK Pallet 1200mm",1200,1000,1210,0,99999999
31,PU1500,"UK Pallet 1500mm",1200,1000,1500,0,99999999
32,PU1800,"UK Pallet 1800mm",1200,1000,1810,0,99999999
33,PU2500,"UK Pallet 2500mm",1200,1000,2510,0,99999999
34,U053,"Upper Level 053L",500,300,350,0,15000
35,U072,"Upper Level 072L",600,600,200,0,30000
36,U108,"Upper Level 108L",600,600,300,0,60000
37,U126,"Upper Level 126L",600,600,350,0,100000
38,U192,"Upper Level 192L",800,400,600,0,100000
39,U240,"Upper Level 240L",1000,400,600,0,150000
40,U288,"Upper Level 288L",1200,400,600,0,150000
41,U320,"Upper Level 320L",800,800,500,0,150000
42,XL,,99999,99999,99999,0,99999999
